"","gender","age_group","education","familiarity","q"
"327","Female","Youths","college_educated","No",0.384615384615385
"328","Male","Youths","college_educated","No",1.69230769230769
"329","Male","Adults","college_educated","Yes",1.61538461538462
"330","Female","Adults","No_college","No",2.46153846153846
"331","Male","Elderly","college_educated","Yes",1.92307692307692
"332","Male","Youths","No_college","No",1.15384615384615
"333","Male","Youths","college_educated","No",0.307692307692308
"334","Male","Youths","college_educated","No",0.538461538461538
"335","Male","Adults","college_educated","No",0.692307692307692
"336","Male","Youths","No_college","No",1.84615384615385
"337","Male","Elderly","college_educated","No",2.46153846153846
"338","Male","Elderly","college_educated","No",0.307692307692308
"339","Female","Youths","college_educated","No",0.307692307692308
"340","Female","Adults","college_educated","No",1
"341","Female","Youths","college_educated","No",1.46153846153846
"342","Male","Adults","college_educated","No",1.69230769230769
"343","Male","Youths","college_educated","No",1.76923076923077
"344","Male","Elderly","college_educated","No",1.92307692307692
"345","Male","Youths","college_educated","No",1.46153846153846
"346","Female","Youths","college_educated","No",2.76923076923077
"347","Male","Youths","college_educated","Yes",1.15384615384615
"348","Male","Adults","No_college","No",3.23076923076923
"349","Male","Youths","college_educated","Yes",1.07692307692308
"350","Male","Adults","college_educated","No",1.15384615384615
"351","Male","Adults","college_educated","No",2.69230769230769
"352","Female","Youths","college_educated","No",1.46153846153846
"353","Male","Elderly","college_educated","No",1.61538461538462
"354","Male","Elderly","college_educated","Yes",1.15384615384615
"355","Male","Adults","No_college","No",2.46153846153846
"356","Male","Youths","No_college","No",1.23076923076923
"357","Female","Elderly","college_educated","No",1.38461538461538
"358","Male","Adults","No_college","No",2.30769230769231
"359","Male","Adults","college_educated","No",1.23076923076923
"360","Female","Youths","college_educated","No",1.92307692307692
"361","Male","Youths","college_educated","No",1.23076923076923
"362","Male","Adults","college_educated","No",1
"363","Male","Adults","college_educated","No",1
"364","Male","Adults","college_educated","No",1.69230769230769
"365","Female","Adults","college_educated","Yes",1
"366","Male","Youths","college_educated","No",1.38461538461538
"367","Female","Adults","college_educated","No",2.23076923076923
"368","Male","Elderly","college_educated","Yes",0.846153846153846
"369","Male","Adults","college_educated","No",1.07692307692308
"370","Male","Adults","college_educated","No",0.538461538461538
"371","Male","Youths","college_educated","No",1.30769230769231
"372","Male","Adults","college_educated","No",1.76923076923077
"373","Male","Elderly","college_educated","No",0.923076923076923
"374","Male","Adults","college_educated","No",0.461538461538462
"375","Male","Elderly","college_educated","No",0.846153846153846
"376","Male","Elderly","college_educated","No",2.15384615384615
"377","Male","Youths","college_educated","No",0.384615384615385
"378","Male","Adults","college_educated","No",3.69230769230769
"379","Female","Youths","college_educated","No",0.846153846153846
"380","Male","Youths","No_college","No",1.84615384615385
"381","Male","Adults","No_college","No",2.46153846153846
"382","Male","Adults","college_educated","No",1.84615384615385
"383","Male","Adults","college_educated","Yes",0.307692307692308
"384","Female","Adults","college_educated","No",1.46153846153846
"385","Male","Youths","college_educated","No",2.46153846153846
"386","Female","Youths","college_educated","No",1.61538461538462
"387","Male","Youths","college_educated","No",0.923076923076923
"388","Female","Youths","college_educated","No",3.07692307692308
"389","Male","Adults","college_educated","No",0.461538461538462
"390","Female","Youths","college_educated","No",2
"391","Male","Adults","college_educated","No",1.46153846153846
"392","Female","Adults","college_educated","No",0.692307692307692
"393","Male","Youths","college_educated","Yes",1.69230769230769
